 Gender(0=Male;1=Female;2=Other;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Suburb;3=Big_City;) Ethnicity(0=White;1=Black;2=Hispanic;3=Asian;4=Mixed;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Other_Religion;6=Agnostic;7=Atheist;) Religious ACT GPA Party_Hours_per_week Drinks_per_week Num._Sex_Partners Num._Relationships First_Kiss_Age(26=still_waiting;) Fav._Life_Period(0=Kindergarten;1=lower_grades;2=middle_school;3=High_School;4=College;) Hours_call_parents Social_media(10=V10_or_more;) Texts Good_or_Well Parent_Relationship Work_Hours_per_week Percent_Parents_pay_tuition Career(0=No_Idea;1=Some_Idea;2=Nervous;3=Concrete_plan;4=Grad_School;5=Other;) 
 1 1 1 3 0 0 3 27 3.1 6 10 7 1 15 3 5 5 5 5 8 0 80 1 
 1 1 0 3 3 4 5 22 3.4 0 0 0 1 18 0 20 3 3 5 10 0 100 4 
 0 0 0 2 2 0 3 26 2.7 7 20 2 1 16 3 4 3 3 0 8 15 20 2 
 1 1 1 2 0 0 3 30 3.2 6 10 1 1 12 4 7 1 6 3 10 0 0 4 
 1 1 1 1 2 0 2 23 3.9 1 2 1 2 11 4 1 1 10 10 7 30 90 2 
 1 1 0 3 3 7 0 32 3.9 0 0 0 2 14 2 0 1 1 0 8 0 100 1 
 1 1 0 0 0 0 3 25 3.7 1 0 1 1 14 3 4 2 4 3 8 10 0 2 
 1 1 0 2 3 3 8 31 3.7 5 3 0 1 14 3 8 1 10 5 9 0 0 2 
 1 1 0 2 0 6 0 30 4 6 5 1 1 14 4 8 1 6 2 10 5 90 3 
 0 0 0 3 1 7 0 32 3.5 0 1 2 1 16 3 2 1 2 7 8 30 0 2 
 1 1 0 3 2 5 6 23 3 1 0 1 1 14 1 5 2 2 0 9 10 0 3 
 0 0 0 2 3 3 8 30 3.3 2 4 0 0 4 2 2 2 2 8 8 10 70 2 
 0 0 0 2 3 0 7 29 2.6 9 12 0 0 26 4 1 2 3 5 10 0 90 2 
 1 1 0 2 1 0 6 21 2.3 5 5 6 4 15 3 7 10 10 7 5 10 60 2 
 0 0 0 3 3 0 7 31 4 4 0 0 0 5 3 4 1 2 1 9 0 100 4 
 1 1 0 3 0 6 0 26 2.7 0 0 1 2 14 4 5 10 6 0 8 0 50 4 
 0 0 1 3 2 5 7 20 1.9 15 20 0 1 11 4 1 10 10 2 5 5 0 1 
 1 1 0 0 0 0 1 28 3.6 0 0 1 1 17 4 3 4 5 5 7 0 100 2 
 1 1 1 2 4 1 7 31 4 1 1 1 2 15 4 9 3 4 4 8 15 10 4 
 0 0 0 2 3 0 6 27 3.2 10 10 20 0 14 4 7 1 50 8 8 0 80 4 
 1 1 0 2 0 1 5 29 4 18 6 1 1 16 4 20 6 14 5 10 0 100 4 
 0 0 0 2 0 6 0 28 1.9 18 50 1 0 15 4 10 2 4 7 8 0 70 1 
 1 1 1 0 0 0 9 27 3.6 2 4 0 1 16 3 3 2 3 1 9 15 50 3 
 1 1 0 2 0 1 5 26 3.6 4 3 1 1 15 3 15 1 6 3 8 0 100 0 
 1 1 0 3 2 0 3 24 3.6 0 0 0 0 26 4 10 5 4 7 9 0 100 0 
 0 0 0 2 4 4 1 32 4 12 12 1 1 12 1 3 1 8 5 7 0 100 4 
 1 1 0 3 2 0 5 19 3.5 0 0 7 3 12 4 1 3 5 6 9 0 100 4 
 0 0 1 3 2 0 6 25 2.5 10 7 1 0 18 4 1 2 3 6 9 0 0 2 
 1 1 0 3 5 0 5 35 3.4 9 6 7 7 12 2 2 6 6 7 7 20 100 0 
 1 1 0 2 3 2 6 26 3.5 2 0 0 0 26 3 5 6 4 5 10 0 100 3 
