"gender","greek","homeTown","ethnicity","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","policitalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Female","No","Big City","Asian","Agnostic",5,100,"some","Donald Trump",5,3,8,6,2,10,1,2,8,4,8,2,5,5,10,1,10,1,"Other",-1,-1,2,9,5,100,"Unsure"
"Female","No","Big City","Asian","Atheist",0,400,"Not at all","Unsure",5,5,5,8,8,10,5,6,8,9,7,4,8,8,5,9,3,1,"Other",-1,-1,5,10,5,100,"Unsure"
"Male","No","Big City Subrub","Asian","Other Religion",0,100,"some","Ted Cruz",5,9,4,3,10,5,2,6,7,8,5,4,3,6,7,8,9,10,"Independent",-1,-1,4,9,0,100,"No"
"Male","Yes","Medium City","White","Christian",5,100,"closely","Bernie Sanders",2,9,6,5,5,8,6,3,1,10,10,1,10,1,9,5,3,8,"Democrat",10,10,0,7,10,80,"No"
"Female","No","Big City Subrub","Asian","Agnostic",0,20,"Not at all","Unsure",0,10,10,10,10,10,8,4,4,9,4,7,7,6,6,10,10,10,"Independent",-1,-1,8,10,0,100,"Unsure"
"Male","No","Big City Subrub","White","Christian",2,80,"very closely","Bernie Sanders",3,7,4,7,8,8,3,1,3,9,8,1,1,1,1,3,4,8,"Democrat",10,10,3,8,15,80,"Unsure"
"Female","No","Big City","Asian","Agnostic",3,70,"some","Bernie Sanders",7,8,6,3,6,6,5,3,5,5,8,2,6,7,3,0,3,6,"Other",-1,-1,7,4,5,100,"Unsure"
"Male","Yes","Big City","Asian","Christian",2,200,"closely","John Kacich",2,10,9,4,3,2,2,0,7,7,8,2,8,2,10,10,10,10,"Democrat",-1,-1,0,10,10,90,"No"
"Male","No","Medium City","Asian","Other Religion",0,1000,"Not at all","Hillary Clinton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other",-1,-1,0,0,0,0,"Unsure"
"Male","No","Big City","Asian","Other Religion",0,10000,"Not at all","Hillary Clinton",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,"Republican",0,0,1,5,5,100,"Unsure"
"Male","No","Big City","Asian","Atheist",0,300,"some","Donald Trump",4,10,5,5,5,5,5,5,5,8,8,3,8,8,3,2,8,1,"Independent",-1,-1,5,9,0,100,"Unsure"
"Male","No","Big City Subrub","Asian","Christian",5,100,"some","Unsure",7,8,5,4,4,4,3,2,5,3,6,3,3,3,5,3,1,2,"Republican",2,6,3,4,0,100,"No"
"Female","No","Big City","Asian","Agnostic",0,100,"Not at all","Unsure",5,8,10,3,8,5,1,10,5,10,6,2,5,5,8,10,1,1,"Independent",-1,-1,3,8,0,100,"No"
"Female","No","Small Town","White","Atheist",0,80,"closely","Bernie Sanders",2,9,8,9,9,10,6,0,9,6,10,4,10,3,10,8,8,9,"Democrat",8,10,7,8,10,30,"No"
"Male","No","Medium City","White","Atheist",0,200,"closely","Donald Trump",6,7,8,3,2,6,10,7,0,5,10,5,9,9,0,4,10,8,"Other",10,10,5,7,0,80,"Unsure"
"Male","No","Big City","Asian","Atheist",3,80,"some","Hillary Clinton",5,0,5,5,8,5,0,8,9,9,6,5,5,5,3,8,8,0,"Independent",0,0,10,7,0,100,"Yes"
"Male","No","Big City Subrub","White","Christian",4,75,"closely","Marco Rubio",8,5,10,4,4,1,6,5,3,5,5,2,2,8,0,4,6,0,"Republican",8,10,4,10,15,90,"Yes"
"Female","No","Big City","Asian","Atheist",0,100,"Not at all","Unsure",5,9,9,8,8,9,8,6,9,9,6,5,7,7,7,7,7,8,"Other",-1,-1,9,10,10,100,"Unsure"
"Female","No","Big City","Asian","Buddhist",3,80,"some","Hillary Clinton",5,7,6,6,7,6,5,5,6,6,7,4,6,6,3,4,6,9,"Republican",-1,-1,4,8,0,100,"Unsure"
"Female","No","Big City","Asian","Atheist",0,30,"closely","Unsure",2,10,10,8,10,10,5,3,10,6,6,6,7,7,5,7,4,4,"Democrat",-1,-1,7,10,0,100,"Unsure"
"Female","No","Big City","Asian","Agnostic",0,20,"some","Donald Trump",0,5,6,7,5,4,3,7,7,10,7,9,7,6,7,8,7,3,"Republican",-1,-1,5,5,10,90,"No"
"Male","No","Big City Subrub","Asian","Atheist",0,80,"closely","Unsure",3,7,6,5,9,10,3,6,10,6,8,3,10,10,10,7,2,5,"Independent",10,10,10,7,0,50,"Unsure"
"Male","No","Big City Subrub","Asian","Agnostic",0,200,"some","Bernie Sanders",4,10,4,3,10,4,4,0,10,3,0,0,10,10,10,0,0,0,"Independent",-1,-1,8,5,0,100,"No"
"Male","No","Medium City","Other","Agnostic",0,130,"some","Bernie Sanders",4,6,6,10,10,9,8,0,5,8,10,3,0,0,0,6,5,2,"Democrat",5,5,6,5,10,0,"No"
