"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"male",77,180,14,"Freshman",2,1,182,1,5,3,50,53,7,"one",50
"male",72,140,11,"Freshman",0,0,80,20,6,4,53,57,3,"few",100
"male",64,155,9.5,"Freshman",3,4,105,50,6,5,49,51,5,"few",25
"female",67,118,7.5,"Senior",4,0,100,200,8,20,51,52,2,"few",50
"female",66,150,8.5,"Freshman",3,1,80,20,6.5,20,47,48,7,"one",100
"female",61,138,7,"Sophomore",1,4,76,24,8,20,51,48,2,"one",80
"male",68,160,9.5,"Junior",3,0,100,0,9,5,63,61,7,"few",70
"female",64,125,7.5,"Freshman",3,2,80,7,7,15,47,49,6,"few",75
"male",70,154,9,"Freshman",2,1,120,1000,8,10,45,52,7,"few",10
"male",72,191,11,"Junior",5,1,120,60,6.5,4,54,59,1,"dozens",75
"male",70,164,10,"Freshman",1,1,90,100,9,6,57,54,7,"one",90
"female",65,125,8.5,"Freshman",0,2,75,30,8.5,20,52,54,8,"few",35
"female",67,120,7.5,"Sophomore",0,0,65,10,6.5,5,51,52,3,"few",30
"male",71,165,9,"Freshman",0,1,80,100,7,3,50,55,7,"one",10
"female",60,102,6,"Senior",0,1,105,27,5,15,51,63,2,"few",100
"male",72,190,11,"Sophomore",3,1,160,2,9,12,55,59,8,"dozens",33
"female",66,130,8,"Freshman",0,2,80,0,9,30,49,50,5,"hundreds",99
"female",66,163,9,"Freshman",13,0,65,150,7,46,44,56,4,"dozens",70
"female",61,120,4.5,"Freshman",5,2,100,60,7,40,48,51,6,"few",100
"female",63,115,6,"Freshman",0,1,62,50,8,10,48,47,4,"few",10
"female",68,130,9,"Sophomore",5,2,87,4,8,14,48,52,7,"few",60
"female",66,135,8.5,"Freshman",7,1,90,100,7.5,14,50,49,8,"millions",90
"female",68,129,9,"Freshman",1,2,70,40,6.5,25,49,50,8,"few",30
"male",73,157,11,"Freshman",2,3,90,2,7.5,7,49,49,1,"hundreds",51
"female",63,108,7.5,"Freshman",0,1,65,110,9.5,15,53,56,8,"one",30
"female",68,150,9.5,"Freshman",3,3,85,55,7.5,6,54,54,6,"millions",14
"female",60,115,5.5,"Freshman",10,0,120,200,8,50,45,44,7,"one",40
"female",66,140,10,"Freshman",11,4,90,500,6.5,17,42,45,6,"one",90
"male",69,141,9.5,"Freshman",5,4,110,110,6.5,9,43,43,5,"one",78
"female",62,200,9,"Freshman",3,1,65,200,7.5,20,53,55,8,"few",100
"male",69,151,10.5,"Freshman",0,1,160,0,9,9,45,45,5,"few",50
