"gender","Greek","hometown","ethnicity","vote","vote_party","vote_pres_08","VP","vote_mother","vote_father","gay_marriage_rate","abortion","politics_self","religion_self","party","drink","ACT","GPA"
"male","no","big city suburb","White",5,"Other","Barak Obama/Joe Biden",5,"no","don't know",1,1,1,1,0,0,30,3.6
"female","no","medium sized city","Asian",1,"Other","Won't vote",1,"yes","yes",8,8,8,9,0,0,24,4
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,1,3,6,12,16,25,3.2
"male","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",10,8,10,7,0,0,26,3.1
"female","no","medium sized city","White",9,"Democrat","Barak Obama/Joe Biden",1,"no","yes",1,1,3,3,10,10,27,3.6
"male","no","big city suburb","White",9,"Other","Barak Obama/Joe Biden",4,"don't know","don't know",5,7,4,4,12,30,24,3
"male","no","small town","Asian",10,"Other","John McCain/Sarah Palin",6,"yes","no",1,5,7,7,15,15,26,2.2
"male","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",2,"don't know","yes",1,3,3,3,10,12,28,3.8
"male","no","small town","White",10,"Republican","Barak Obama/Joe Biden",8,"yes","yes",10,5,8,2,2,5,24,3.5
"female","yes","big city","White",10,"Other","Undecided",8,"yes","yes",1,5,4,7,15,2,29,3.9
"female","yes","big city suburb","White",8,"Other","Barak Obama/Joe Biden",2,"yes","no",9,1,4,5,10,15,25,3.6
"female","no","big city suburb","Asian",7,"Democrat","Barak Obama/Joe Biden",7,"yes","don't know",10,3,4,6,12,0,27,3.3
"female","yes","big city suburb","White",9,"Republican","John McCain/Sarah Palin",7,"yes","yes",1,5,7,6,10,8,25,3.6
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,9,4,8,2,1,18,2.7
"female","yes","big city suburb","White",8,"Democrat","Barak Obama/Joe Biden",4,"no","no",1,1,4,6,10,20,28,3.8
"male","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",1,"yes","yes",1,8,7,6,0,5,24,3.5
"female","yes","big city suburb","Hispanic/Latino",7,"Democrat","Barak Obama/Joe Biden",4,"don't know","don't know",1,5,5,5,13,10,27,3.3
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",10,2,2,7,3,3,25,3.4
"female","no","small town","White",3,"Other","Undecided",5,"yes","yes",10,8,7,10,0,0,26,3.5
"female","yes","medium sized city","Other",10,"Other","Undecided",3,"don't know","don't know",8,10,7,10,0,0,26,3.6
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"no","yes",1,1,4,7,15,15,28,3.8
"male","no","medium sized city","White",7,"Democrat","Barak Obama/Joe Biden",7,"yes","no",9,1,5,2,15,30,30,3.6
"female","no","big city","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,4,4,4,4,3,26,3.8
"female","no","medium sized city","White",9,"Other","Undecided",7,"don't know","don't know",1,1,4,1,10,10,32,3.8
"female","no","small town","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",10,10,9,10,4,0,28,3.4
"male","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",3,"yes","no",2,2,4,7,15,25,31,3.9
"female","yes","big city","Asian",1,"Democrat","Won't vote",1,"don't know","don't know",1,5,5,1,5,5,31,2.6
"female","yes","big city suburb","White",7,"Republican","John McCain/Sarah Palin",1,"yes","yes",5,3,5,8,10,10,27,4
"female","no","big city suburb","Asian",7,"Other","Undecided",4,"yes","yes",1,3,4,5,5,2,31,2.6
"female","yes","big city suburb","White",1,"Other","Won't vote",1,"don't know","don't know",3,3,2,2,13,13,23,3.1
"male","no","big city suburb","Asian",1,"Other","Undecided",1,"no","yes",9,8,7,8,15,14,17,2.7
"female","no","big city suburb","White",1,"Democrat","Won't vote",10,"yes","yes",1,3,4,1,0,3,32,3.4
"female","yes","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,1,5,8,1,0,28,3.9
"female","no","big city","Hispanic/Latino",2,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",5,1,2,8,16,13,21,3.4
"male","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",4,"no","no",1,1,4,5,12,25,25,2.8
"female","no","big city suburb","White",8,"Democrat","Barak Obama/Joe Biden",6,"no","yes",1,1,3,1,10,10,31,3
"female","no","medium sized city","White",8,"Democrat","Undecided",7,"no","no",1,1,4,2,5,1,25,3.7
"male","no","big city suburb","White",7,"Republican","John McCain/Sarah Palin",8,"yes","yes",9,1,8,8,16,13,32,3.4
"female","no","big city suburb","White",7,"Republican","Barak Obama/Joe Biden",8,"yes","yes",1,6,8,3,4,4,30,3.8
"female","no","medium sized city","Other",10,"Democrat","Barak Obama/Joe Biden",1,"no","no",3,1,4,3,0,0,21,3.4
"male","no","big city","Asian",10,"Democrat","Barak Obama/Joe Biden",6,"don't know","don't know",2,5,5,5,5,6,30,3.3
"female","no","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",3,"don't know","no",1,1,3,2,35,33,26,3.5
"female","no","big city suburb","White",2,"Other","Won't vote",1,"yes","no",1,3,2,1,0,1,29,3.1
"female","no","big city","White",10,"Democrat","Barak Obama/Joe Biden",5,"yes","no",1,10,5,5,8,2,24,3.7
"female","yes","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",6,"don't know","yes",1,8,2,5,14,30,36,3.6
"female","no","big city suburb","White",8,"Other","Barak Obama/Joe Biden",2,"no","no",1,2,4,1,0,0,32,3.6
"female","no","big city suburb","White",10,"Republican","Barak Obama/Joe Biden",3,"yes","yes",1,1,1,8,0,2,27,3.2
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",5,4,4,5,10,6,22,3.5
"male","yes","small town","Asian",5,"Democrat","Barak Obama/Joe Biden",1,"don't know","don't know",1,1,4,5,4,11,28,1.8
"female","no","big city suburb","Asian",10,"Democrat","Barak Obama/Joe Biden",8,"no","no",4,10,5,10,0,0,27,3.8
"female","yes","medium sized city","White",10,"Other","Barak Obama/Joe Biden",2,"yes","yes",1,3,3,2,9,8,27,3.3
"female","no","big city suburb","White",6,"Other","John McCain/Sarah Palin",5,"yes","yes",10,10,8,10,15,20,28,3.6
"male","no","big city suburb","Hispanic/Latino",4,"Republican","Barak Obama/Joe Biden",1,"yes","yes",10,5,5,6,5,1,31,3.5
"female","yes","big city suburb","White",1,"Democrat","Won't vote",1,"no","no",8,2,5,9,21,36,29,3.2
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",2,"yes","yes",4,8,7,9,15,20,27,3.6
"female","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",3,2,5,4,6,4,30,3.8
"male","yes","small town","White",10,"Republican","John McCain/Sarah Palin",6,"yes","don't know",6,9,9,5,20,30,27,3
"female","no","small town","White",5,"Republican","John McCain/Sarah Palin",8,"yes","yes",7,9,9,8,3,1,30,3.3
"female","yes","big city suburb","White",10,"Other","John McCain/Sarah Palin",1,"no","no",1,10,9,10,10,10,30,3.3
"female","yes","big city suburb","White",5,"Democrat","Barak Obama/Joe Biden",5,"no","no",3,1,3,3,10,15,26,3.4
"female","no","medium sized city","Other",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",3,1,5,7,4,0,25,3.6
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",7,3,7,9,1,0,18,3.3
"female","no","big city","Other",8,"Democrat","Undecided",6,"no","no",1,4,1,2,4,10,23,2.7
"female","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",1,3,3,7,13,15,29,3.8
