"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",69,147,8.5,35,"Sophomore",2,3,85,20,6.5,58,63,6,"one",25
"female",63,110,7.5,5,"Sophomore",1,2,60,24,5,46,55,4,"few",20
"male",72,157,10.5,15,"Sophomore",6,1,95,150,9,54,54,4,"one",10
"female",64,99,6.5,2,"Junior",0,0,20,130,7.5,47,47,6,"one",50
"male",72,175,12,10,"Sophomore",1,3,95,23,9,48,59,1,"dozens",20
"female",62,130,6,22,"Sophomore",3,1,70,15,6,54,54,8,"dozens",40
"female",65,166,9,3,"Sophomore",1,2,20,10,7,46,49,9,"one",100
"female",66,136,8.5,6,"Senior",1,5,85,0,7,51,51,2,"few",5
"female",61,103,6,10,"Freshman",2,3,70,30,8,41,51,6,"few",75
"female",68,130,7.5,30,"Freshman",5,1,100,25,6.5,50,46,4,"few",100
"female",62,140,8,94,"Freshman",5,3,80,19,8,44,45,7,"one",48
"male",68,198,10.5,4,"Freshman",15,5,90,0,7,50,52,7,"hundreds",25
"female",62,99,6,7,"Sophomore",7,2,85,150,6,61,60,3,"few",60
"female",66,120,9.5,20,"Senior",1,3,90,35,7.5,50,52,8,"few",70
"female",68,135,7.5,6,"Freshman",2,3,85,100,7,51,51,2,"one",100
"male",72,151,11,8,"Junior",5,1,80,18,8,55,57,7,"millions",50
"female",60,119,6,18,"Freshman",3,2,100,40,6,46,49,3,"dozens",60
"female",65,125,7.5,25,"Junior",1,2,87,90,6,49,62,1,"one",100
"female",62,131,5.5,60,"Sophomore",3,3,90,140,7.5,56,45,2,"few",50
"female",64,150,9,15,"Sophomore",2,2,20,0,8,35,40,6,"one",80
"female",68,136,9.5,10,"Sophomore",5,6,80,2,7.5,59,62,8,"few",100
"male",75,250,13,12,"Sophomore",1,6,98,80,8,60,60,1,"few",100
"male",69,135,11,6,"Sophomore",0,1,100,10,7,57,60,3,"one",50
"female",69,143,10,20,"Sophomore",3,2,90,20,8,48,51,8,"hundreds",20
"female",65,125,8,10,"Sophomore",2,0,90,50,8,53,57,8,"one",75
"female",67,120,9,23,"Freshman",2,1,75,66,8.5,49,50,2,"none",70
"male",74,195,12,6,"Sophomore",2,1,100,6,8,49,48,4,"thousands",100
"male",73,156,10,8,"Junior",0,3,90,10,8,44,52,10,"millions",50
"male",72,165,11,4,"Freshman",2,0,127,10,7,44,46,2,"few",30
"female",62,97,6,30,"Sophomore",1,2,90,20,7,52,52,8,"few",95
"male",67,182,10.5,5,"Freshman",0,2,110,1,6,43,43,8,"dozens",20
"female",64,135,6.5,10,"Sophomore",1,2,75,81,6.5,47,47,7,"dozens",35
"female",63,108,7,12,"Sophomore",0,1,40,46,6,43,51,7,"none",25
"female",60,90,5.5,22,"Freshman",0,1,45,50,6.5,53,53,4,"one",70
"female",64,110,8.5,4,"Freshman",3,4,20,0,8,39,39,7,"few",25
"female",63,160,8,14,"Sophomore",2,1,85,15,7,52,50,10,"one",18
"female",63,115,6,10,"Freshman",3,3,99,46,8.5,56,56,7,"few",100
"male",68,165,10.5,6,"Sophomore",6,1,130,37,7,49,50,4,"few",95
"male",73,185,11,4,"Freshman",2,1,110,150,7,38,44,1,"few",95
"female",64,135,8,15,"Freshman",1,1,80,70,7.5,48,47,5,"one",99
"female",63,113,8,36,"Junior",0,2,55,200,8.5,49,65,4,"few",100
"female",68,177,9,5,"Sophomore",1,3,60,10,6,42,42,5,"few",25
"female",63,110,8,15,"Freshman",4,3,70,20,8,46,57,7,"one",50
"male",70,170,9.5,3,"Junior",3,1,110,5,7,51,52,2,"few",0
"female",68,195,9,5,"Sophomore",2,1,90,30,8,48,49,7,"few",77
"female",67,127,9,18,"Sophomore",0,3,100,25,7,48,49,6,"few",100
"male",70,140,10.5,5,"Freshman",1,2,85,28,8,43,45,2,"one",80
"female",66,140,8,15,"Sophomore",3,1,110,40,7,50,60,6,"dozens",75
"male",68,170,7,10,"Sophomore",0,0,60,1000,7.5,48,50,7,"dozens",15
"female",67,125,8,35,"Sophomore",1,2,100,70,7,56,57,3,"few",100
"female",64,110,6.5,20,"Sophomore",5,1,100,0,5,47,47,7,"few",100
"male",70,160,11,5,"Sophomore",3,1,45,0,6,42,46,1,"thousands",100
"female",67,153,9.5,22,"Sophomore",1,2,78,14,9,48,48,4,"one",10
"female",66,135,8,21,"Sophomore",5,2,125,18,7,54,63,4,"few",100
"female",70,160,9.5,24,"Sophomore",2,3,110,20,7,49,52,7,"few",55
"female",64,120,8,14,"Sophomore",4,1,116,2,8,54,55,6,"few",5
"male",71,160,9.5,8,"Sophomore",0,3,105,20,8,55,57,3,"few",15
"male",75,195,13,8,"Freshman",4,7,90,100,6.5,45,46,6,"few",30
"male",69,143,9,8,"Sophomore",1,2,95,23,8.5,55,58,3,"one",100
"female",66,120,7.5,10,"Sophomore",3,2,93,25,6.5,60,60,4,"few",95
"male",68,143,9,27,"Sophomore",0,2,120,8,8,52,58,8,"few",100
"male",70,152,12,4,"Sophomore",4,2,50,85,7,48,49,7,"few",80
"male",70,225,12,8,"Sophomore",0,2,75,200,5.5,46,52,7,"few",75
"female",62,144,8.5,6,"Sophomore",1,2,20,12,7.5,51,49,3,"few",50
"female",61,115,8,40,"Sophomore",2,0,87,0,8,49,47,2,"few",85
"female",68,165,9,20,"Sophomore",1,1,88,15,8.5,53,53,9,"few",40
"male",74,210,12,3,"Freshman",1,2,105,40,7,50,50,4,"few",0
"female",69,142,7.5,30,"Sophomore",0,1,86,40,7.5,51,52,4,"few",95
"female",65,135,7,15,"Sophomore",0,3,85,0,6,56,57,6,"one",50
"male",66,131,8.5,3,"Sophomore",20,5,117,10,6,36,40,9,"millions",90
"female",64,122,9,10,"Freshman",1,2,80,120,7,50,52,7,"few",100
"male",70,200,11,4,"Senior",30,1,135,25,7.5,48,53,4,"hundreds",95
"female",64,100,6.5,20,"Sophomore",0,1,105,200,6,49,50,8,"one",100
"female",64,102,6.5,50,"Freshman",1,2,80,0,8,39,44,9,"few",50
"female",67,136,8,17,"Freshman",1,2,80,42,6.5,45,51,7,"hundreds",100
"female",62,138,7.5,8,"Sophomore",2,2,70,100,5.5,47,51,5,"one",100
"female",66,135,9,35,"Sophomore",2,1,83,25,8,49,49,7,"one",70
"female",57,120,4,15,"Freshman",2,0,50,97,6,38,37,9,"few",75
"female",66,135,8.5,30,"Sophomore",1,2,93,42,7.5,49,57,8,"few",50
"male",71,170,11,10,"Sophomore",3,2,90,100,9,55,54,6,"millions",100
"male",67,135,7,10,"Sophomore",2,1,120,45,8,50,54,6,"one",10
"female",64,125,8.5,13,"Freshman",12,5,95,10,7,51,53,9,"few",80
"female",59,95,4,10,"Freshman",2,2,65,50,7,48,52,7,"one",40
"female",70,135,8.5,40,"Sophomore",3,6,95,5,7,43,43,5,"none",50
"male",70,186,11,4,"Junior",2,1,118,40,8,58,65,8,"one",5
"male",70,180,9.5,20,"Junior",1,4,100,100,4,48,52,8,"few",10
"female",65,124,8,23,"Sophomore",7,1,93,15,6,43,50,8,"dozens",50
"male",72,295,12,3,"Sophomore",2,2,95,27,7,57,58,7,"one",85
"male",66,150,9.5,8,"Sophomore",3,3,95,300,7.5,53,62,3,"hundreds",10
"male",70,300,12,6,"Sophomore",4,2,60,0,10,39,43,7,"one",30
"female",65,145,8.5,20,"Sophomore",1,2,95,88,7,51,53,7,"few",100
"male",69,150,12,10,"Sophomore",0,3,95,25,8,51,53,3,"dozens",75
"female",59,110,6,50,"Sophomore",4,1,88,78,6.5,50,55,6,"dozens",70
"male",73,125,10,4,"Freshman",5,1,90,31,7,56,58,1,"hundreds",100
"female",68,130,8,15,"Sophomore",0,1,85,15,8,47,47,3,"few",60
"male",69,140,11,10,"Sophomore",4,0,100,97,6,49,56,3,"few",50
"male",65,190,9.5,7,"Sophomore",2,4,80,25,7,46,50,5,"few",30
"female",61,113,7,10,"Freshman",1,2,80,40,7,44,48,7,"few",90
"male",74,175,13,5,"Senior",0,1,65,30,7.5,48,50,6,"none",0
"female",64,132,7.5,6,"Freshman",3,2,95,101,7,47,49,2,"few",70
"female",67,138,8,23,"Sophomore",0,1,95,70,7.5,58,58,2,"few",58
"female",62,126,7,20,"Junior",6,1,80,4,6.5,42,42,9,"few",60
"female",64,104,6,20,"Sophomore",0,1,102,8,7,45,46,8,"few",30
"female",63,120,6.5,13,"Freshman",1,2,85,85,7,49,50,7,"few",80
"female",68,130,8,12,"Junior",7,3,110,0,7,54,54,4,"one",85
