"reason","god","devil","heaven","hell","miracles","angels","ghosts","reincarnation","astrology","psychics","witches","zombies","vampires","UFO","afraidWalkAtNight","debate","debateWinner","likelyVote","candidate","environment","terrorism","economy","racism","policeBrutality","lawAndOrder","genderEquality","borderSecurity","familyValues","bigMoney","gunRights","voteParents","section"
8,1,1,1,1,1,1,1,3,1,2,1,3,1,3,"Yes","Most of it","Hillary Clinton",-1,"Hillary Clinton",8,8,8,8,7,6,8,5,5,5,5,"Unsure","L1"
9,10,10,10,10,8,10,4,4,2,6,0,0,0,6,"Yes","Just a few clips","Hillary Clinton",8,"Hillary Clinton",4,10,8,6,4,9,8,6,2,8,8,"Yes","L1"
7,10,10,10,10,8,10,2,1,3,0,0,0,0,3,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",9,9,7,7,8,5,9,1,1,6,1,"No","L1"
8,4,4,5,5,5,5,5,5,5,6,4,2,2,4,"Yes","Just a few clips","Hillary Clinton",3,"Hillary Clinton",7,6,5,6,5,5,6,7,6,7,5,"No","L1"
10,5,4,6,5,10,7,7,3,10,4,3,1,1,2,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,9,10,10,10,10,10,10,8,9,10,"No","L1"
8,10,8,10,8,8,6,1,0,0,0,0,0,0,7,"No","No","Unsure",10,"Hillary Clinton",9,9,9,10,7,9,8,0,9,5,7,"Yes","L1"
5,2,0,2,0,5,0,0,3,0,3,0,0,0,5,"No","No","Hillary Clinton",5,"Hillary Clinton",10,8,10,10,10,7,10,4,4,7,0,"Unsure","L1"
8,10,10,10,10,10,10,7,0,4,5,0,0,0,2,"Yes","Just a few clips","Unsure",9,"Hillary Clinton",3,7,4,10,10,8,10,2,4,6,1,"Yes","L1"
10,10,10,10,10,6,10,2,6,0,0,0,0,0,5,"No","All of it","Unsure",10,"Donald Trump",4,10,10,7,7,10,10,10,10,10,10,"Yes","L1"
10,9,10,10,10,10,10,10,0,6,5,0,0,0,0,"Yes","Just a few clips","Donald Trump",10,"Donald Trump",10,10,8,0,0,10,0,10,10,10,10,"Yes","L1"
6,0,0,0,0,4,0,7,0,0,5,0,0,0,0,"Yes","Just a few clips","No opinion",10,"Hillary Clinton",2,9,10,10,10,3,10,1,5,2,8,"No","L1"
7,5,5,6,6,6,6,6,5,2,5,4,4,4,5,"No","All of it","Hillary Clinton",8,"Hillary Clinton",7,7,6,7,8,8,8,7,6,9,8,"Yes","L1"
7,6,8,9,9,8,9,7,3,1,4,1,0,0,0,"Yes","No","No opinion",0,"Hillary Clinton",6,4,6,7,5,5,4,3,2,10,4,"Unsure","L1"
10,7,4,6,4,7,5,6,5,8,6,3,3,4,6,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",6,6,8,8,7,4,10,4,3,8,6,"Yes","L1"
9,10,10,10,10,10,10,4,0,1,2,1,0,0,1,"No","No","Hillary Clinton",5,"Donald Trump",8,8,6,6,4,8,10,10,10,7,10,"Yes","L1"
5,9,9,9,5,6,9,10,4,0,1,0,8,0,10,"Yes","Most of it","Hillary Clinton",10,"Gary Johnson",10,9,10,9,8,7,5,2,6,8,5,"No","L1"
8,10,10,10,10,10,10,10,6,2,10,10,0,0,10,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",8,8,7,8,7,5,8,0,0,6,0,"Yes","L1"
6,2,2,2,2,7,6,5,5,5,5,2,2,2,5,"Yes","No","Hillary Clinton",-1,"Hillary Clinton",7,3,8,8,2,1,5,5,5,5,5,"Unsure","L1"
9,10,10,10,10,10,10,5,3,4,3,1,0,0,1,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",8,6,9,10,10,10,10,4,9,10,4,"Yes","L1"
9,5,7,7,5,7,7,3,8,7,6,3,3,4,8,"Yes","No","Hillary Clinton",-1,"Other",10,9,9,10,8,10,10,5,9,8,0,"Yes","L1"
10,10,10,10,10,10,10,7,5,2,3,2,0,0,1,"No","All of it","Hillary Clinton",10,"Hillary Clinton",10,8,9,10,10,7,10,5,5,9,5,"Yes","L1"
5,5,3,4,4,5,4,5,2,3,1,5,0,0,7,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,9,10,10,8,8,10,0,6,5,0,"Yes","L1"
8,10,0,10,10,10,10,0,0,2,2,0,0,0,0,"No","Just a few clips","Unsure",10,"Hillary Clinton",3,10,7,10,9,7,8,5,8,5,3,"Yes","L1"
10,10,10,10,10,8,10,5,0,1,5,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",0,"Jill Stein",0,8,7,7,9,10,6,2,4,5,1,"Yes","L1"
10,10,10,10,10,10,10,8,2,2,7,1,0,0,8,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,8,10,10,10,6,10,3,2,5,1,"Yes","L1"
7,7,3,8,8,10,8,5,1,0,2,0,0,0,5,"No","Most of it","Unsure",9,"Donald Trump",5,8,5,8,5,5,5,1,7,5,8,"Unsure","L1"
9,9,3,7,3,3,3,2,1,3,0,0,0,0,5,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",8,9,8,10,10,8,10,4,4,7,3,"Unsure","L1"
3,0,0,3,0,0,1,3,1,10,10,6,0,0,10,"Yes","No","Hillary Clinton",8,"Gary Johnson",10,5,3,10,10,5,8,6,5,10,0,"Yes","L1"
3,9,3,8,3,9,4,6,6,5,5,4,3,3,5,"No","All of it","Unsure",3,"Other",8,10,5,6,5,10,3,6,10,8,2,"No","L1"
6,5,4,7,5,5,8,6,3,1,4,0,0,0,0,"Yes","Just a few clips","No opinion",8,"Hillary Clinton",10,8,8,10,10,8,10,5,2,10,0,"No","L1"
2,2,3,1,2,1,1,4,6,0,3,0,0,0,7,"No","Most of it","No opinion",10,"Gary Johnson",8,8,6,6,4,10,7,8,7,10,3,"No","L1"
10,10,10,10,10,10,10,10,2,1,5,1,0,0,4,"Yes","Just a few clips","No opinion",0,"Other",2,1,7,4,6,8,9,3,3,8,4,"Yes","L1"
10,10,10,10,10,10,10,8,0,4,5,6,0,0,2,"Yes","Most of it","Donald Trump",10,"Donald Trump",6,8,6,10,9,10,8,9,9,6,10,"Yes","L1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","All of it","Hillary Clinton",10,"Hillary Clinton",8,7,10,10,10,10,10,2,0,5,3,"Yes","L1"
3,0,0,0,0,0,0,3,0,0,0,0,0,0,10,"No","No","No opinion",9,"Hillary Clinton",10,5,10,7,2,2,10,1,0,9,1,"Yes","L1"
8,10,2,10,6,8,10,10,1,6,2,0,0,0,3,"Yes","No","Unsure",6,"Donald Trump",2,7,5,4,6,6,8,7,8,7,6,"Unsure","L1"
10,10,10,10,10,10,10,0,0,10,0,3,0,0,0,"No","Just a few clips","Unsure",10,"Gary Johnson",3,7,1,3,6,8,4,8,9,5,8,"No","L1"
8,10,0,5,5,10,6,3,2,5,1,0,0,0,0,"Yes","No","No opinion",10,"Hillary Clinton",10,10,4,9,7,3,7,5,5,5,3,"Yes","L1"
8,10,10,10,10,9,9,5,2,5,0,0,0,0,6,"No","Most of it","Unsure",10,"Donald Trump",6,10,1,0,0,6,1,6,8,10,10,"Yes","L1"
9,10,10,10,10,10,10,2,0,0,2,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",9,"Unsure",8,8,7,8,4,8,8,7,9,7,8,"Yes","L1"
7,8,3,8,6,7,6,5,8,9,5,0,0,0,9,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,5,8,10,10,8,10,5,5,10,0,"Yes","L1"
10,10,10,10,10,9,10,2,0,1,1,0,0,0,0,"Yes","All of it","Unsure",6,"Donald Trump",7,10,2,6,8,10,7,10,10,6,10,"Yes","L1"
8,1,1,7,2,10,1,2,5,2,2,1,0,1,2,"Yes","No","Hillary Clinton",10,"Hillary Clinton",3,4,3,3,4,4,5,3,9,2,3,"Yes","L1"
8,8,8,9,9,6,6,9,7,5,4,4,4,3,3,"Yes","Just a few clips","No opinion",8,"Donald Trump",5,5,6,3,4,5,6,9,5,8,1,"Yes","L1"
9,2,2,0,0,6,0,0,0,8,1,1,0,0,2,"No","Just a few clips","Hillary Clinton",-1,"Hillary Clinton",10,10,10,7,10,8,10,6,10,6,5,"Unsure","L1"
3,3,6,4,4,4,7,10,4,0,7,0,0,0,7,"No","All of it","Hillary Clinton",10,"Hillary Clinton",10,10,7,9,8,8,10,10,4,5,10,"No","L1"
10,10,10,10,10,9,10,10,6,5,10,2,0,0,10,"Yes","Most of it","Donald Trump",2,"Donald Trump",10,8,4,3,4,2,4,4,5,5,5,"Yes","L1"
4,5,0,6,1,5,9,8,0,0,0,0,0,0,6,"No","Just a few clips","No opinion",10,"Hillary Clinton",9,6,9,10,10,6,10,0,0,8,4,"Yes","L1"
8,10,10,10,10,6,10,1,0,4,5,1,0,0,3,"Yes","Just a few clips","Unsure",6,"Donald Trump",8,8,4,8,6,4,7,4,3,3,4,"Yes","L1"
10,10,5,10,7,10,10,5,5,5,4,1,0,0,2,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",7,9,7,10,10,10,10,5,5,5,3,"Yes","L1"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,2,8,10,4,5,10,0,5,5,0,"Yes","L1"
8,1,0,8,1,7,5,2,1,7,1,0,0,0,0,"No","No","Unsure",9,"Hillary Clinton",8,8,6,8,7,6,10,4,1,3,1,"No","L1"
8,10,8,9,9,10,5,5,8,7,8,3,2,6,6,"Yes","No","Unsure",10,"Donald Trump",8,10,6,8,8,8,9,8,9,10,9,"Yes","L1"
8,9,7,9,7,9,9,6,6,5,2,2,1,2,5,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",8,7,9,9,9,9,9,7,5,8,5,"Yes","L1"
10,10,0,10,10,10,10,4,7,0,0,0,0,0,0,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",2,4,2,10,10,6,10,5,8,3,5,"Yes","L1"
4,4,2,4,3,10,7,7,2,10,0,0,0,1,10,"Yes","All of it","Hillary Clinton",-1,"Gary Johnson",9,9,7,8,9,8,5,9,7,9,8,"No","L1"
10,8,0,6,0,0,4,4,6,4,2,0,0,0,0,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,10,3,9,9,9,9,8,6,5,10,"Yes","L1"
7,4,0,3,1,6,3,0,0,2,0,0,0,0,0,"No","Most of it","No opinion",3,"Hillary Clinton",8,6,10,10,5,5,5,0,4,5,2,"Yes","L1"
9,8,8,9,9,9,8,7,3,3,3,1,1,1,4,"No","Most of it","Hillary Clinton",8,"Donald Trump",4,8,3,5,5,10,5,7,7,5,5,"Yes","L1"
9,10,6,10,6,7,10,2,1,2,1,0,0,0,0,"Yes","No","Hillary Clinton",0,"Hillary Clinton",10,10,10,10,10,10,10,5,3,10,1,"Yes","L1"
0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,"No","All of it","Donald Trump",-1,"Jill Stein",10,10,10,0,0,0,0,10,0,10,10,"No","L1"
10,10,0,10,0,10,10,5,2,8,0,0,0,0,2,"No","No","Unsure",1,"Hillary Clinton",10,7,7,10,10,10,10,7,7,6,5,"Yes","L1"
10,10,10,10,10,10,10,0,0,0,5,0,0,0,0,"Yes","Most of it","Unsure",10,"Donald Trump",5,10,3,5,8,9,8,9,3,9,3,"Unsure","L1"
10,10,10,10,10,8,8,0,2,2,5,0,0,0,7,"No","All of it","Hillary Clinton",10,"Hillary Clinton",10,6,7,10,10,6,10,0,0,9,0,"No","L1"
6,7,7,7,7,8,8,9,3,8,7,4,0,0,2,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,8,10,10,10,5,10,1,1,1,1,"No","L1"
10,10,10,1,1,5,8,0,0,1,3,0,0,0,0,"Yes","No","Unsure",0,"Jill Stein",10,5,10,10,10,5,10,1,10,10,0,"Yes","L1"
10,10,10,10,10,10,7,7,3,0,0,0,0,0,10,"No","Most of it","Unsure",8,"Unsure",7,9,10,10,10,5,8,3,3,10,8,"Yes","L1"
7,10,9,7,7,5,2,1,3,5,3,0,2,0,2,"Yes","No","No opinion",8,"Jill Stein",10,8,9,10,10,10,10,2,3,10,6,"Yes","L1"
9,7,7,5,5,8,9,8,10,7,8,5,0,0,2,"Yes","Just a few clips","Hillary Clinton",-1,"Unsure",8,9,8,7,7,7,9,8,8,8,3,"Yes","L1"
10,10,10,10,10,9,7,8,1,1,1,7,0,4,10,"No","All of it","Donald Trump",0,"Other",8,4,6,7,7,4,7,1,6,8,2,"Yes","L1"
5,7,2,6,0,8,2,5,0,5,8,0,0,0,8,"No","Just a few clips","Hillary Clinton",10,"Gary Johnson",8,7,6,8,7,5,5,3,9,8,5,"Yes","L1"
9,10,10,10,10,10,10,7,10,9,8,4,1,1,1,"Yes","All of it","Hillary Clinton",0,"Other",5,10,6,9,9,9,9,9,10,9,7,"Yes","L1"
10,8,6,6,5,8,5,9,2,8,6,0,0,0,2,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,5,10,10,8,8,10,2,2,8,0,"Yes","L1"
5,9,10,9,9,10,0,0,0,0,0,0,0,0,7,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,1,1,10,10,10,10,7,0,10,8,"Yes","L1"
