"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"male",72,180,11,3,"Freshman",0,3,90,21,6.5,51,51,1,"few",98
"male",70,138,9.5,5,"Senior",2,1,100,20,6.5,48,51,8,"none",10
"male",70,125,11.5,4,"Sophomore",0,2,125,0,6.5,49,48,4,"one",50
"male",72,170,10.5,8,"Sophomore",6,1,130,26,6.5,52,60,7,"few",10
"male",75,175,11.5,4,"Junior",2,2,115,50,6.5,56,58,1,"few",10
"female",68,211,11,24,"Senior",1,1,95,0,6.5,51,55,7,"few",15
"female",64,138,7,10,"Senior",0,2,85,2,6.5,43,52,6,"few",50
"male",67,130,10.5,6,"Freshman",0,3,95,25,6.5,39,42,1,"few",50
"female",62,112,7.5,12,"Sophomore",1,2,80,12,6.5,53,65,7,"few",50
"female",63,98,6,9,"Sophomore",0,2,70,38,6.5,49,50,4,"dozens",80
"female",67,154,8,25,"Senior",0,2,90,25,6.5,60,61,3,"one",30
"male",68,177,10.5,6,"Sophomore",0,1,107,5,6.5,51,53,8,"one",100
"male",75,178,11.5,7,"Sophomore",6,1,95,1,6.5,44,43,8,"one",90
"female",60,134,6.5,12,"Junior",2,1,90,11,6.5,47,54,4,"thousands",40
"female",67,130,7.5,26,"Freshman",0,1,110,28,6.5,49,51,4,"few",50
"male",69,150,9.5,4,"Junior",0,0,100,20,6.5,51,54,7,"few",75
"male",70,150,11,5,"Junior",2,4,97,6,7,54,52,10,"hundreds",50
"female",64,160,8.5,15,"Junior",2,4,90,10,7,53,53,8,"few",50
"female",62,125,6,30,"Freshman",0,0,80,20,7,50,56,6,"hundreds",80
"male",72,170,12,10,"Sophomore",0,5,115,400,7,53,59,6,"few",30
"male",70,135,10,8,"Freshman",1,1,100,0,7,49,55,4,"hundreds",25
"female",67,155,8.5,35,"Freshman",5,1,90,13,7,55,55,2,"thousands",60
"female",63,120,7,20,"Sophomore",2,1,80,500,7,41,46,5,"one",90
"female",64,105,6.5,7,"Freshman",1,0,20,74,7,54,55,4,"one",75
"male",71,155,10.5,10,"Senior",2,1,95,72,7,49,51,8,"thousands",60
"female",69,170,9.5,20,"Sophomore",2,3,95,0,7,50,50,9,"few",40
"female",63,144,8,34,"Senior",3,5,90,10,7,42,44,8,"one",100
"female",70,156,9.5,20,"Senior",6,1,88,80,7,55,56,8,"few",50
"female",63,130,6,30,"Sophomore",1,1,95,80,7,50,48,4,"dozens",50
"female",68,190,10,25,"Senior",4,1,85,9,7,48,49,9,"few",50
"female",63,170,7.5,16,"Freshman",1,0,70,120,7,52,56,9,"thousands",30
"female",70,139,9.5,8,"Sophomore",0,1,96,0,7,47,48,2,"hundreds",100
"male",70,155,9.5,8,"Freshman",0,1,100,40,7,45,50,1,"one",50
"male",71,150,9,6,"Sophomore",0,1,122,25,7,48,58,7,"few",100
"female",65,130,7,10,"Freshman",3,2,100,20,7,51,53,6,"few",75
"female",62,140,7.5,23,"Freshman",0,2,88,0,7,53,52,3,"dozens",95
"male",74,200,12.5,4,"Senior",1,2,115,32,7,44,44,6,"few",50
"female",66,130,9,9,"Freshman",3,5,90,25,7,54,55,5,"few",80
"female",64,113,6.5,50,"Sophomore",2,2,85,97,7,51,52,8,"one",85
"male",72,146,10,5,"Sophomore",1,1,50,25,7,54,53,1,"one",85
"female",70,190,11,31,"Sophomore",0,3,85,50,7,51,52,6,"few",45
"female",63,128,6,8,"Freshman",0,2,90,50,7,49,49,9,"few",80
"female",63,145,7.5,2,"Freshman",1,2,45,110,7,47,55,6,"none",17
"male",65,120,8,3,"Freshman",0,1,90,31,7,50,53,6,"one",20
"male",72,200,12.5,5,"Sophomore",0,2,120,20,7,50,52,6,"one",50
"female",64,118,8,35,"Freshman",2,2,105,40,7,50,49,10,"one",0
"female",65,130,8,10,"Sophomore",20,3,90,15,7,38,42,7,"few",50
"male",68,135,9.5,2,"Sophomore",4,1,105,0,7,45,49,1,"dozens",5
"female",63,131,7,15,"Sophomore",3,5,110,0,7,35,35,6,"one",45
"female",63,130,6.5,30,"Junior",1,2,95,0,7,56,50,8,"few",20
"female",65,125,7.5,25,"Freshman",1,4,90,8,7,58,65,2,"dozens",75
"male",72,175,10.5,8,"Junior",2,2,85,25,7,45,47,8,"few",75
"male",67,154,8.5,6,"Freshman",4,1,95,30,7,49,54,8,"one",50
"female",66,114,6.5,30,"Freshman",0,2,60,200,7,51,52,2,"few",20
"female",60,121,7.5,9,"Freshman",0,2,70,45,7,46,47,4,"hundreds",85
"female",61,117,6,8,"Senior",1,3,70,2,7,49,47,3,"few",3
"male",69,150,10.5,7,"Freshman",2,1,80,50,7,57,54,9,"few",25
"female",66,118,7,20,"Junior",9,3,70,5,7,50,57,8,"few",90
"female",67,130,8,43,"Freshman",4,1,90,25,7,55,55,5,"few",100
"male",73,240,11.5,8,"Sophomore",1,2,110,0,7,53,58,5,"one",100
"female",66,150,9.5,15,"Freshman",5,1,97,42,7,52,53,8,"few",100
"male",70,150,10,2,"Sophomore",0,3,70,40,7,56,58,8,"few",30
"male",74,144,11,6,"Freshman",0,1,121,37,7,48,49,8,"one",98
"female",61,110,6,15,"Junior",0,0,85,18,7,58,58,4,"none",0
"female",67,185,10,30,"Sophomore",0,1,95,42,7,42,51,8,"few",80
"male",69,166,10,7,"Freshman",0,1,90,11,7,52,54,4,"one",20
"female",63,197,8.5,12,"Junior",7,3,90,13,7,53,57,8,"one",100
"female",68,140,9.5,12,"Freshman",2,1,90,9,7,48,50,4,"few",50
"female",65,125,8,7,"Sophomore",0,1,95,0,7,45,47,3,"few",90
"male",70,190,10.5,2,"Sophomore",4,1,70,20,7,54,53,5,"millions",100
"female",61,115,6.5,10,"Freshman",5,0,85,0,7,55,57,6,"few",50
"female",70,170,10,51,"Freshman",1,2,80,60,7,50,53,9,"few",100
"male",70,165,10.5,8,"Sophomore",7,2,87,35,7,51,51,6,"few",100
"female",67,140,10,22,"Sophomore",0,3,80,21,7,49,50,4,"few",50
"male",72,188,10,10,"Sophomore",5,2,110,66,7,55,57,4,"one",33
"female",66,138,8,18,"Sophomore",5,3,70,15,7,43,43,5,"one",40
"male",67,130,9,20,"Sophomore",1,1,130,0,7,54,54,4,"dozens",49
"female",58,107,6.5,30,"Freshman",3,2,67,35,7,46,55,4,"one",60
"female",63,125,5.5,25,"Senior",6,4,95,0,7,46,50,5,"one",50
"male",73,159,12,6,"Freshman",1,2,100,80,7,40,53,4,"dozens",90
"female",60,218,9.5,14,"Freshman",0,1,120,22,7,54,52,3,"few",50
"male",69,155,10.5,3,"Freshman",3,2,90,20,7,45,46,2,"dozens",100
"female",65,115,7.5,90,"Sophomore",30,1,125,500,7,51,51,2,"few",4
"male",76,205,15,3,"Freshman",0,2,130,200,7,53,57,4,"thousands",10
"female",66,112,6.5,12,"Sophomore",5,2,80,45,7,48,50,3,"few",50
"female",62,122,8,15,"Sophomore",1,0,92,10,7,54,57,4,"millions",100
"male",73,157,10.5,5,"Senior",3,3,90,50,7,51,53,8,"dozens",33
"female",66,133,8,17,"Freshman",7,3,90,10,7,54,57,3,"few",60
"female",64,120,8,30,"Junior",2,0,95,0,7,48,63,3,"hundreds",50
"female",69,120,9,20,"Freshman",2,2,90,0,7,45,45,4,"dozens",99
"female",61,114,6.5,10,"Junior",0,1,95,15,7,56,60,4,"few",85
"female",67,120,8.5,10,"Freshman",2,3,102,32,7,48,48,4,"one",70
"female",65,160,8,50,"Junior",0,3,100,7,7,50,53,4,"few",80
"female",67,98,7,14,"Junior",1,1,110,40,7,41,42,3,"few",80
"female",69,115,9.5,8,"Sophomore",0,2,55,20,7,49,51,4,"few",75
"female",64,142,7.5,11,"Senior",15,4,120,4,7,47,56,6,"one",15
"male",70,148,10,3,"Senior",1,1,110,15,7,52,56,2,"thousands",30
"female",68,150,8.5,10,"Freshman",0,0,20,10,7,49,52,3,"dozens",30
"male",69,137,10.5,3,"Freshman",1,2,85,14,7,46,47,3,"few",20
"female",62,112,7.5,40,"Sophomore",2,1,115,23,7,53,53,7,"few",60
"female",66,170,9,15,"Junior",2,3,100,11,7,45,57,6,"few",30
"female",64,140,6.5,25,"Freshman",0,0,100,85,7,50,50,8,"dozens",50
"female",62,110,6,10,"Sophomore",0,2,75,300,7,46,51,3,"one",50
"female",66,143,9,14,"Junior",2,1,80,0,7,56,57,4,"hundreds",100
"male",77,202,14,6,"Sophomore",1,2,110,25,7,57,59,8,"few",7
"female",66,120,8.5,10,"Senior",3,1,105,25,7,52,52,9,"dozens",50
"female",66,170,9.5,30,"Freshman",3,0,90,30,7,52,51,7,"few",30
"female",64,110,6.5,30,"Sophomore",1,0,101,37,7,52,59,5,"few",40
"male",70,160,10,10,"Freshman",0,1,85,300,7,45,55,10,"hundreds",100
"female",66,147,8.5,57,"Sophomore",5,1,95,0,7,41,41,7,"few",75
"male",70,260,8.5,8,"Graduate",6,2,110,36,7,65,65,6,"hundreds",90
"female",64,150,7.5,40,"Sophomore",9,12,95,20,7,39,38,9,"one",75
"female",62,123,7,30,"Sophomore",1,0,20,3,7,55,60,2,"few",100
"male",69,157,10.5,3,"Freshman",3,5,90,50,7,55,56,2,"hundreds",10
"male",71,180,11,11,"Sophomore",3,4,110,0,7,44,44,8,"one",10
"male",75,195,13,5,"Sophomore",1,3,110,25,7,56,60,10,"one",50
"female",63,126,7,50,"Freshman",0,1,75,48,7,47,48,6,"few",25
"male",68,140,9,10,"Freshman",0,1,100,100,7,55,58,4,"thousands",100
"female",64,130,7.5,15,"Sophomore",4,1,110,63,7,51,58,2,"one",80
"male",68,175,11.5,10,"Sophomore",7,1,110,20,7,43,44,5,"few",75
"female",64,112,6.5,20,"Freshman",0,1,75,85,7,49,56,8,"few",50
"male",69,160,9,10,"Sophomore",0,1,85,15,7,48,50,3,"few",20
"female",65,120,8,26,"Sophomore",2,2,95,17,7,42,43,8,"one",50
"female",66,144,8,15,"Sophomore",4,1,100,200,7,56,56,4,"few",100
"female",64,135,7.5,10,"Freshman",0,1,90,36,7,51,55,6,"one",10
"male",72,170,12,9,"Sophomore",3,2,105,87,7,48,51,5,"few",90
"female",68,160,10,15,"Freshman",1,4,80,30,7,52,58,5,"thousands",50
"male",71,167,11,4,"Sophomore",0,3,115,16,7,51,52,4,"dozens",19
"female",62,146,8,14,"Senior",1,4,85,45,7,53,53,7,"one",90
"male",72,155,12,2,"Sophomore",0,0,90,0,7,56,56,2,"few",25
"female",66,135,8.5,15,"Junior",3,1,104,28,7,55,56,9,"dozens",30
