"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Male","No","big_city","White","Muslim",5,30,4,1,0,0,0,0,"College",7,0,10,5,"No",8,6,10,2,7,10,0
"Male","No","suburbs","White","Christian",9,31,3.6,10,0,1,1,16,"High_School",5,0,10,5,"No",9,5,7,4,10,0,90
"Female","No","Medium_City","White","Jewish",6,29,3.8,0,0,0,1,15,"High_School",5,0,5,0,"No",0,1,4,5,1,15,10
"Female","Yes","Small_Town","White","Agnostic",0,24,2.9,6,12,6,3,13,"College",4,1,50,0,"Yes",0,3,4,5,10,10,10
"Female","No","big_city","Asian","Agnostic",0,36,3.6,2,1,1,1,18,"College",5,1,5,5,"No",5,5,5,5,8,0,100
"Female","No","suburbs","White","Christian",6,27,3.2,10,12,1,1,12,"College",1,1,50,3,"No",8,8,7,8,7,0,100
"Male","Yes","suburbs","White","Christian",7,32,3.6,12,15,1,2,13,"College",3,1,50,0,"No",5,4,6,6,8,15,70
"Female","Yes","suburbs","White","Christian",7,27,3.4,4,20,5,3,15,"College",2,0,50,9,"No",5,5,6,9,8,0,80
"Female","No","Medium_City","Black","Christian",6,19,2.5,2,1,1,1,12,"College",5,0,32,1,"No",2,9,5,6,9,15,0
"Female","No","Medium_City","Asian","Agnostic",4,32,3.6,2,0,1,1,15,"High_School",4,3,5,5,"No",6,5,6,5,5,0,100
"Male","No","big_city","Asian","Buddhist",8,30,4,2,0,0,0,0,"middle_school",14,0,6,10,"No",5,8,2,2,10,0,100
"Female","Yes","big_city","Hispanic","Christian",8,29,3.8,13,6,3,1,15,"College",10,0,20,5,"No",5,1,10,6,10,10,100
"Female","Yes","suburbs","White","Jewish",5,24,2.9,0,0,0,0,0,"middle_school",30,0,23,0,"No",0,3,4,7,9,0,60
"Female","No","Small_Town","White","Christian",6,29,4,8,12,13,4,15,"College",2,10,30,5,"No",3,6,6,6,8,0,100
"Female","No","Small_Town","White","Christian",7,20,4,3,1,2,3,16,"High_School",3,10,50,6,"No",8,6,9,10,10,0,0
"Female","No","suburbs","Hispanic","Other",0,23,3,6,7,3,4,15,"High_School",7,0,50,0,"Yes",2,5,10,3,10,40,50
"Male","No","big_city","White","Christian",5,28,3.3,24,50,3,2,12,"College",1,15,10,0,"No",5,5,5,5,8,15,30
"Female","No","Medium_City","White","Christian",8,31,4,2,2,0,0,15,"College",2,0,25,9,"No",10,8,5,3,5,10,50
"Female","No","suburbs","White","Agnostic",0,32,4,10,6,1,1,16,"College",2,0,50,0,"No",0,0,5,3,10,0,100
"Female","Yes","suburbs","Other","Christian",7,28,3.3,20,35,12,2,14,"College",2,10,20,5,"No",3,5,4,9,10,0,60
"Female","Yes","suburbs","White","Christian",5,25,4,5,5,0,0,11,"College",30,20,50,6,"No",5,7,8,6,10,0,100
"Male","No","suburbs","White","Christian",8,33,3.9,0,0,1,1,17,"High_School",1,1,50,8,"No",6,7,5,5,8,0,90
"Female","Yes","Small_Town","White","Christian",4,28,3.3,25,10,0,1,15,"College",7,5,50,1,"No",5,7,7,8,9,0,100
"Male","No","big_city","Hispanic","Atheist",0,25,2.5,2,2,1,1,17,"College",1,0,30,0,"Yes",0,5,2,3,9,0,100
"Female","No","big_city","Black","Christian",7,18,3,3,2,3,2,16,"College",7,0,21,5,"No",10,3,3,5,9,15,10
"Male","No","suburbs","Asian","Christian",2,25,3,6,10,2,0,15,"High_School",2,3,32,10,"No",10,5,1,7,8,0,50
"Female","No","suburbs","White","Jewish",5,31,4,12,14,0,0,15,"College",4,4,50,0,"No",2,5,5,5,7,0,50
"Male","No","suburbs","Asian","Atheist",0,29,4,6,0,0,0,0,"middle_school",6,0,30,5,"No",7,3,2,8,8,0,100
"Female","No","Small_Town","Other","Other",7,17,2.9,0,1,1,3,17,"middle_school",1,1,50,0,"No",5,0,5,10,5,0,30
"Female","No","suburbs","White","Jewish",7,28,3.6,6,20,0,0,17,"High_School",1,0,50,0,"No",0,1,5,6,8,0,100
"Male","No","big_city","Black","Christian",5,24,4,3,2,4,0,3,"middle_school",2,10,50,5,"No",5,5,5,5,6,10,0
"Female","Yes","suburbs","White","Christian",5,30,3,14,20,2,0,13,"College",1,3,20,0,"No",0,5,5,3,10,0,90
"Female","Yes","Small_Town","White","Christian",5,25,3.2,13,22,1,2,15,"College",6,15,25,0,"No",8,5,5,7,9,0,40
"Male","Yes","Medium_City","White","Christian",7,31,3.6,12,30,2,1,12,"High_School",2,0,10,6,"No",9,8,8,5,10,0,50
"Female","No","big_city","Asian","Jewish",4,30,3.7,0,0,1,2,14,"High_School",1,10,50,0,"No",5,2,3,9,8,5,100
