"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Female","Female",67,125,9,"Freshman",1.5,4,26,6,2,90,500,9,12,42,47,6,"one",75
"Male","Male",72,191,13,"Sophomore",4,3.5,24,0,1,110,20,7,16,55,61,8,"hundreds",20
"Female","Female",64,125,6.5,"Freshman",3,3.7,24,5,1,75,15,7.5,6,52,49,5,"one",8
"Female","Female",63,100,6.5,"Freshman",4,4,30,0,0,100,103,6.5,20,64,54,7,"one",95
"Female","Female",62,180,9,"Sophomore",5,3.5,28,1,3,85,60,7.5,30,60,48,5,"thousands",70
"Female","Female",60,166,7,"Sophomore",4,2.8,20,1,2,100,1,6.5,10,39,38,6,"none",100
"Female","Female",65,155,8,"Sophomore",5,3,24,1,3,0,41,8,14,47,49,5,"few",25
"Female","Female",66,125,8,"Freshman",1,3.8,26,7,2,80,30,8.5,20,53,56,2,"few",60
"Male","Male",74,205,13,"Freshman",2,4,32,0,2,90,25,9,7,48,48,7,"one",90
"Female","Female",64,140,7,"Junior",1.5,2.9,25,5,1,110,35,6,20,40,45,7,"few",50
"Female","Female",66,130,8.5,"Sophomore",7,3.5,21,0,3,60,1000,5.5,14,47,43,7,"millions",80
"Female","Female",65,110,8,"Sophomore",3,3.8,24,0,2,70,15,10,8,48,54,3,"few",100
"Female","Female",65,115,8,"Junior",1,2.9,29,3,5,85,10,7,14,46,46,4,"few",25
"Male","Male",70,150,9.5,"Sophomore",9,3.8,29,9,3,95,130,9,10,56,57,9,"few",0
"Female","Female",64,100,7,"Sophomore",3,3,24,4,3,72,70,7,15,44,48,6,"none",2
"Male","Male",70,160,12,"Sophomore",6,3.1,23,1,4,105,10,6,7,38,47,3,"dozens",50
"Female","Female",64,107,7,"Freshman",3,3.8,28,0,2,78,8,7,20,53,57,8,"dozens",50
"Female","Female",67,145,9,"Freshman",3,4,25,6,3,111,5,8,40,47,47,8,"dozens",1
"Male","Male",71,180,11.5,"Sophomore",0.5,2.5,32,10,12,130,1000,4,0,50,50,4,"millions",20
"Male","Male",76,195,15,"Sophomore",2.5,3.4,32,0,4,101,1000,7,11,52,59,4,"few",60
"Female","Female",63,165,7,"Sophomore",0.5,2.9,21,1,2,75,15,5.5,6,58,50,4,"few",65
"Female","Female",68,155,10,"Freshman",3,3.9,27,0,2,85,25,6.5,22,54,57,9,"few",60
"Female","Female",64,175,9,"Sophomore",3.5,3,28,0,3,96,150,9.5,15,48,49,7,"millions",60
"Female","Female",63,125,9,"Freshman",3,4,27,2,0,95,0,8.5,20,55,59,2,"hundreds",100
"Female","Female",61,120,6.5,"Freshman",3,4,32,4,2,55,40,9.5,20,55,55,7,"few",75
"Female","Female",63,110,6,"Sophomore",5,4,31,0,1,0,22,7,6,47,51,8,"few",66
